"","...1","Date","Competition","...4","VT","UB","BB","FX","AA","Full_Name","Nation","Birthdate","comp_year","Comp_Year","Age"
"5089",5089,"Oct 4-13","World Championships","QF",14.366,11.8,11.733,12.733,50.632,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2021,24
"5090",5090,"Jul 26-31","Pan American Games","EF",13.583,NA,NA,NA,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2021,24
"5091",5091,"Jul 26-31","Pan American Games","AA",14.15,13,10.9,11.95,50,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2021,24
"5092",5092,"Jul 26-31","Pan American Games","QF",14.2,12.7,11.2,12.8,50.9,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2021,24
"5093",5093,"Mar 20-23","Doha World Cup","QF",14.449,NA,NA,9.9,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2021,24
"5094",5094,"Sep 14-16","Pan American Championships","TF",14.6,11.1,11.967,13.6,51.267,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2019,24
"5095",5095,"Sep 14-16","Pan American Championships","AA",14.567,12.833,12,13.367,52.767,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2019,24
"5096",5096,"Jul 20-24","Central American & Caribbean Games","EF",14.112,12.5,10.825,13.525,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2019,24
"5097",5097,"Jul 20-24","Central American & Caribbean Games","AA",14.7,12.25,11.5,13.3,51.75,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2019,24
"5098",5098,"Jul 20-24","Central American & Caribbean Games","QF",14.25,12.5,12.3,13.9,52.95,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2019,24
"5099",5099,"Apr 27-29","Pacific Rim Championships","EF",14.063,NA,NA,NA,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2019,24
"5100",5100,"Apr 27-29","Pacific Rim Championships","AA",13.75,6.55,9.45,13.3,43.05,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2019,24
"5101",5101,"Oct 2-8","World Championships","QF",13.316,10.8,NA,NA,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2018,24
"5102",5102,"Jun 29-30","Central American Sports Festival","AA",13.45,13.2,12.65,13,52.3,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2018,24
"5103",5103,"Aug 5-21","Olympic Games","QF",13.433,13.825,11.7,13.066,52.024,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2017,24
"5104",5104,"Jun 23-26","Anadia World Challenge Cup","EF",14.925,12.375,12.275,NA,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2017,24
"5105",5105,"Jun 23-26","Anadia World Challenge Cup","QF",14.775,13.2,13.45,NA,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2017,24
"5106",5106,"Apr 16-18","Olympic Test Event","AA",14.8,12.733,13.233,13.066,53.832,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2017,24
"5107",5107,"Oct 23-Nov 1","World Championships","QF",14.833,12.433,12.4,12.966,52.632,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5108",5108,"Sep 17-20","Osijek World Cup","EF",13.525,11.775,NA,13.3,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5109",5109,"Sep 17-20","Osijek World Cup","QF",14.925,13.25,11.4,13.2,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5110",5110,"Jul 12-15","Pan American Games","EF",14.737,NA,NA,NA,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5111",5111,"Jul 12-15","Pan American Games","AA",14.7,13.5,13.05,13.25,53.05,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5112",5112,"Jul 12-15","Pan American Games","QF",14.85,13.35,12.95,11.15,52.3,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5113",5113,"May 21-24","Anadia World Cup","EF",15.112,13.425,NA,NA,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5114",5114,"May 21-24","Anadia World Cup","QF",15.1,13.15,12.35,12.05,NA,"Marcia Teresa Vidiaux Jimenez","Cuba",1999-07-21,NA,2016,24
"5115",5115,"May 2-9","Gymnasiade","AA",NA,10.1,NA,NA,NA,"Tatiana Bachurina","Cyprus",2002-01-12,NA,2022,21
"5116",5116,"Jul 10-18","Gymnasiade","EF",NA,13,11.833,12.767,NA,"Tatiana Bachurina","Cyprus",2002-01-12,NA,2018,21
"5117",5117,"Jul 10-18","Gymnasiade","AA",12.3,12.75,13.75,12.6,51.4,"Tatiana Bachurina","Cyprus",2002-01-12,NA,2018,21
"5118",5118,"Jun 2-4","COMEGYM Championships","AA",12.6,10.4,10.35,10.55,43.9,"Georgia Charalampous","Cyprus",2007-08-21,NA,2023,16
"5119",5119,"Nov 8-10","Horizon Cup","AA",12.4,9.25,11,11.35,44,"Georgia Charalampous","Cyprus",2007-08-21,NA,2022,16
"5120",5120,"Jun 26-29","Mediterranean Games","AA",11.8,10.066,11.3,11.333,44.499,"Evangelina Dimitriou","Cyprus",2005-09-19,NA,2023,18
"5121",5121,"Jun 26-29","Mediterranean Games","QF",11.6,9.4,9.8,10.55,41.35,"Evangelina Dimitriou","Cyprus",2005-09-19,NA,2023,18
"5122",5122,"Nov 8-10","Horizon Cup","AA",12.35,9.2,11.3,11,43.85,"Evangelina Dimitriou","Cyprus",2005-09-19,NA,2022,18
"5123",5123,"Aug 2-12","European Championships","AA",11.933,8.4,8.733,9,38.066,"Christiana Eleftheriou","Cyprus",2004-05-03,NA,2021,19
"5124",5124,"Dec 19-20","Voronin Cup","AA",12.025,8.525,9.375,9.95,39.875,"Christiana Eleftheriou","Cyprus",2004-05-03,NA,2018,19
"5125",5125,"Apr 7-9","Mediterranean Junior Championships","AA",11.15,8.55,7.5,9.8,37,"Christiana Eleftheriou","Cyprus",2004-05-03,NA,2018,19
"5126",5126,"Aug 2-12","European Championships","QF",NA,9.733,10.1,11.766,NA,"Gloria Philassides","Cyprus",2002-10-19,NA,2019,21
"5127",5127,"Jun 22-Jul 1","Mediterranean Games","AA",12.4,9.6,9.5,10.25,41.75,"Gloria Philassides","Cyprus",2002-10-19,NA,2019,21
"5128",5128,"Jun 22-Jul 1","Mediterranean Games","QF",12.3,9.15,8.8,10.9,41.15,"Gloria Philassides","Cyprus",2002-10-19,NA,2019,21
"5129",5129,"May 2-9","Gymnasiade","AA",12.3,9.8,9.7,12,43.8,"Gloria Philassides","Cyprus",2002-10-19,NA,2019,21
"5130",5130,"Apr 5-9","Commonwealth Games","QF",12.05,7.8,9.35,10.1,39.3,"Gloria Philassides","Cyprus",2002-10-19,NA,2019,21
"5131",5131,"Dec 19-20","Voronin Cup","AA",12.675,6.4,9.4,11.85,40.325,"Gloria Philassides","Cyprus",2002-10-19,NA,2018,21
"5132",5132,"Jul 23-30","European Youth Olympic Festival","QF",12.2,8.85,9.95,9.5,40.5,"Gloria Philassides","Cyprus",2002-10-19,NA,2018,21
"5133",5133,"Apr 7-9","Mediterranean Junior Championships","EF",NA,NA,NA,11.4,NA,"Gloria Philassides","Cyprus",2002-10-19,NA,2018,21
"5134",5134,"Apr 7-9","Mediterranean Junior Championships","AA",12,8.7,9,11.05,40.75,"Gloria Philassides","Cyprus",2002-10-19,NA,2018,21
"5135",5135,"Dec 19-21","Voronin Cup","AA",12.6,8.667,10.834,11.6,43.701,"Gloria Philassides","Cyprus",2002-10-19,NA,2017,21
"5136",5136,"Jun 1-5","European Championships","QF",11.833,10.1,10.133,11.066,43.132,"Gloria Philassides","Cyprus",2002-10-19,NA,2017,21
"5137",5137,"Nov 12-13","Vera Caslavska Grand Prix","AA",12.25,11.25,12.4,12.2,48.1,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5138",5138,"Aug 11-21","European Championships","AA",12.233,11.233,11.566,12.466,47.498,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5139",5139,"Jul 24-30","EYOF Mixed Pairs","QF",NA,NA,12.4,11.8,NA,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5140",5140,"Jul 24-30","European Youth Olympic Festival","EF",NA,NA,12.4,NA,NA,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5141",5141,"Jul 24-30","European Youth Olympic Festival","AA",12.3,11.25,12.8,12,48.35,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5142",5142,"2-Jul","Austrian Team Challenge","AA",12.6,11,12.5,11.7,47.8,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5143",5143,"Jun 3-5","Czech Championships","EF",12.45,11.45,12.65,12.25,NA,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5144",5144,"Jun 3-5","Czech Championships","AA",12.5,11.4,12.8,11.467,48.167,"Sona Artamonova","Czechia",2007-10-09,NA,2023,16
"5145",5145,"Nov 6-7","Olympic Hopes Cup","EF",NA,8.2,NA,NA,NA,"Sona Artamonova","Czechia",2007-10-09,NA,2022,16
"5146",5146,"Nov 6-7","Olympic Hopes Cup","AA",12.45,11.25,12.35,11.85,47.9,"Sona Artamonova","Czechia",2007-10-09,NA,2022,16
"5147",5147,"2-Oct","Hanspeter Demetz Memorial","AA",12.567,10.333,10.833,11.433,45.166,"Sona Artamonova","Czechia",2007-10-09,NA,2022,16
"5148",5148,"Jun 25-27","Czech Championships","AA",12.1,9.65,9.4,10.55,41.7,"Sona Artamonova","Czechia",2007-10-09,NA,2022,16
"5149",5149,"Dec 17-20","European Championships","QF",NA,9.933,9.733,NA,NA,"Natalie Brabcova","Czechia",2004-09-23,NA,2021,19
"5150",5150,"Nov 28-30","Olympic Hopes Cup","AA",11.967,9.567,11.7,11.933,45.167,"Natalie Brabcova","Czechia",2004-09-23,NA,2020,19
"5151",5151,"Jul 20-28","European Youth Olympic Festival","QF",12.2,10.25,11.9,10.45,44.8,"Natalie Brabcova","Czechia",2004-09-23,NA,2020,19
"5152",5152,"Jun 1-2","Czech Championships","EF",NA,11.2,NA,NA,NA,"Natalie Brabcova","Czechia",2004-09-23,NA,2020,19
"5153",5153,"Jun 1-2","Czech Championships","AA",11.95,11.9,11.7,11.9,47.45,"Natalie Brabcova","Czechia",2004-09-23,NA,2020,19
"5154",5154,"Mar 30-31","Elek Matolay Memorial","EF",NA,NA,NA,11.3,NA,"Natalie Brabcova","Czechia",2004-09-23,NA,2020,19
"5155",5155,"Mar 30-31","Elek Matolay Memorial","AA",11.6,10.7,11.2,12.2,45.7,"Natalie Brabcova","Czechia",2004-09-23,NA,2020,19
"5156",5156,"Nov 29-Dec 1","Olympic Hopes Cup","EF",NA,10.733,NA,NA,NA,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5157",5157,"Nov 29-Dec 1","Olympic Hopes Cup","AA",12.5,11,9.85,11.25,44.6,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5158",5158,"Aug 2-12","European Championships","AA",9.933,11.533,9.566,10.9,41.932,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5159",5159,"7-Jul","Budapest Friendly","AA",11.85,9.95,10.9,11.05,43.75,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5160",5160,"Jun 9-10","Gym Festival Trnava","AA",11.05,11.2,11.1,11.15,44.5,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5161",5161,"Jun 2-3","Czech Championships","EF",NA,9.9,NA,11.7,NA,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5162",5162,"Jun 2-3","Czech Championships","AA",11.2,9.35,10.7,11.5,42.75,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5163",5163,"19-May","Marie Siroke Memorial","AA",NA,8.9,10.35,NA,NA,"Natalie Brabcova","Czechia",2004-09-23,NA,2019,19
"5164",5164,"Nov 2-4","Olympic Hopes Cup","EF",NA,NA,10.35,NA,NA,"Natalie Brabcova","Czechia",2004-09-23,NA,2018,19
"5165",5165,"Nov 2-4","Olympic Hopes Cup","AA",11.7,11.05,11.75,10.8,45.3,"Natalie Brabcova","Czechia",2004-09-23,NA,2018,19
"5166",5166,"Dec 17-20","European Championships","TF",12.966,NA,NA,11.466,NA,"Magdalena Coufalová","Czechia",2004-06-12,NA,2021,19
"5167",5167,"Dec 17-20","European Championships","QF",13.066,NA,NA,11.766,NA,"Magdalena Coufalová","Czechia",2004-06-12,NA,2021,19
"5168",5168,"Oct 25-27","Salamunov Memorial","AA",12.525,NA,NA,9.7,NA,"Magdalena Coufalová","Czechia",2004-06-12,NA,2020,19
"5169",5169,"Oct 25-27","Salamunov Memorial","AA",13.1,9.85,10.45,11.85,45.25,"Magdalena Coufalová","Czechia",2004-06-12,NA,2020,19
"5170",5170,"Jun 1-2","Czech Championships","EF",13.2,NA,12.175,10.95,NA,"Magdalena Coufalová","Czechia",2004-06-12,NA,2020,19
"5171",5171,"Jun 1-2","Czech Championships","AA",13.15,10,12.05,12.1,47.3,"Magdalena Coufalová","Czechia",2004-06-12,NA,2020,19
"5172",5172,"Aug 2-12","European Championships","AA",12.6,NA,10.4,11.633,NA,"Magdalena Coufalová","Czechia",2004-06-12,NA,2019,19
"5173",5173,"7-Jul","Budapest Friendly","AA",12.85,8.95,10.2,11,43,"Magdalena Coufalová","Czechia",2004-06-12,NA,2019,19
"5174",5174,"Jun 2-3","Czech Championships","EF",12.6,9.3,NA,NA,NA,"Magdalena Coufalová","Czechia",2004-06-12,NA,2019,19
"5175",5175,"Jun 2-3","Czech Championships","AA",12.9,10.5,10.95,11.2,45.55,"Magdalena Coufalová","Czechia",2004-06-12,NA,2019,19
"5176",5176,"21-Apr","Austrian Team Open","AA",12.1,9.55,9.5,11.5,42.65,"Magdalena Coufalová","Czechia",2004-06-12,NA,2019,19
"5177",5177,"Nov 2-4","Olympic Hopes Cup","EF",12.09,NA,NA,NA,NA,"Magdalena Coufalová","Czechia",2004-06-12,NA,2018,19
"5178",5178,"Nov 2-4","Olympic Hopes Cup","AA",13.15,8.95,11.45,11.4,44.95,"Magdalena Coufalová","Czechia",2004-06-12,NA,2018,19
"5179",5179,"20-May","Marie Siroke Memorial","AA",12.4,7.95,12.7,11.45,44.5,"Magdalena Coufalová","Czechia",2004-06-12,NA,2018,19
"5180",5180,"Dec 3-4","Czech Women’s League","AA",12.9,9.75,9.65,11.7,44,"Magdalena Coufalová","Czechia",2004-06-12,NA,2017,19
"5181",5181,"Nov 12-13","Vera Caslavska Grand Prix","EF",NA,10.45,NA,12.25,NA,"Eliska Drncova","Czechia",2007-11-05,NA,2023,16
"5182",5182,"Nov 12-13","Vera Caslavska Grand Prix","AA",11.2,11.85,9.4,12.35,44.8,"Eliska Drncova","Czechia",2007-11-05,NA,2023,16
"5183",5183,"Jun 3-5","Czech Championships","EF",NA,9.95,11.9,12.25,NA,"Eliska Drncova","Czechia",2007-11-05,NA,2023,16
"5184",5184,"Jun 3-5","Czech Championships","AA",12.2,10.433,11.767,11.567,45.967,"Eliska Drncova","Czechia",2007-11-05,NA,2023,16
"5185",5185,"Dec 4-5","Czech Team Championships","AA",12.45,9.8,8.85,11.25,42.35,"Eliska Drncova","Czechia",2007-11-05,NA,2022,16
"5186",5186,"Nov 6-7","Olympic Hopes Cup","AA",11.95,9.6,11.5,11,44.05,"Eliska Drncova","Czechia",2007-11-05,NA,2022,16
"5187",5187,"Jun 25-27","Czech Championships","EF",NA,11.066,10.366,NA,NA,"Eliska Drncova","Czechia",2007-11-05,NA,2022,16
"5188",5188,"Jun 25-27","Czech Championships","AA",12.15,10.6,11.7,10.45,44.9,"Eliska Drncova","Czechia",2007-11-05,NA,2022,16
"5189",5189,"Jun 1-2","Czech Championships","EF",NA,11.225,NA,NA,NA,"Eliska Firtova","Czechia",2002-02-07,NA,2021,21
"5190",5190,"Jun 1-2","Czech Championships","AA",11.05,10.6,11.375,10.9,43.925,"Eliska Firtova","Czechia",2002-02-07,NA,2021,21
"5191",5191,"Oct 25-Nov 3","World Championships","QF",NA,11.066,NA,NA,NA,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5192",5192,"Sep 29-30","Paris Challenge Cup","QF",NA,NA,10.9,11.3,NA,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5193",5193,"7-Jul","Budapest Friendly","AA",11.85,10.65,10.75,10.8,44.05,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5194",5194,"Jun 9-10","Gym Festival Trnava","EF",NA,11.2,NA,NA,NA,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5195",5195,"Jun 9-10","Gym Festival Trnava","AA",12.25,11.65,10.45,11.75,46.1,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5196",5196,"Jun 2-3","Czech Championships","EF",12.425,12.25,11.25,10.05,NA,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5197",5197,"Jun 2-3","Czech Championships","AA",12.65,11.45,12.4,11.5,48,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5198",5198,"19-May","Marie Siroke Memorial","AA",12.033,12.2,11.15,11.75,47.133,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5199",5199,"21-Apr","Austrian Team Open","AA",12.2,10.45,7.75,9.7,40.1,"Eliska Firtova","Czechia",2002-02-07,NA,2019,21
"5200",5200,"9-Dec","Bundesliga Regional Finale","AA",11.8,11.4,9.9,10.15,43.25,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5201",5201,"Nov 2-4","Olympic Hopes Cup","EF",NA,12.15,NA,NA,NA,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5202",5202,"Nov 2-4","Olympic Hopes Cup","AA",12.25,11.35,9.65,11,44.25,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5203",5203,"Jun 10-11","Czech Championships","EF",12.175,11.05,NA,NA,NA,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5204",5204,"Jun 10-11","Czech Championships","AA",11.95,11.95,9.1,10.9,43.9,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5205",5205,"Jun 3-4","Gym Festival Trnava","AA",12.05,11.167,9.567,11.1,43.884,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5206",5206,"20-May","Marie Siroke Memorial","AA",11.3,10.85,9.7,10.75,42.6,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5207",5207,"6-May","Czech Control Meet II","AA",12,10.8,10.5,12,45.3,"Eliska Firtova","Czechia",2002-02-07,NA,2018,21
"5208",5208,"15-Oct","Vitkovice Cup","AA",12.9,10.75,11.45,12.15,47.25,"Eliska Firtova","Czechia",2002-02-07,NA,2017,21
"5209",5209,"Oct 3-5","Olympic Hopes Cup","AA",12.7,11.6,10.65,11.7,46.65,"Eliska Firtova","Czechia",2002-02-07,NA,2017,21
"5210",5210,"Jun 11-12","Czech Championships","AA",12.6,11.05,10.85,11.7,46.2,"Eliska Firtova","Czechia",2002-02-07,NA,2017,21
"5211",5211,"May 14-15","Gym Festival Trnava","AA",12.7,11.15,10.3,10.9,45.05,"Eliska Firtova","Czechia",2002-02-07,NA,2017,21
"5212",5212,"7-May","Czech Friendly","AA",12.65,11.9,12.15,11.45,48.15,"Eliska Firtova","Czechia",2002-02-07,NA,2017,21
"5213",5213,"16-Apr","Czech Control Meet","AA",11.26,7.933,10.53,10.566,40.298,"Eliska Firtova","Czechia",2002-02-07,NA,2017,21
"5214",5214,"7-Nov","Olympic Hopes Cup","AA",12.65,9.35,10.85,11.75,44.6,"Eliska Firtova","Czechia",2002-02-07,NA,2016,21
"5215",5215,"Jun 6-8","Gym Festival Trnava","AA",10.6,9.7,8.95,10.9,40.15,"Eliska Firtova","Czechia",2002-02-07,NA,2015,21
"5216",5216,"Dec 4-5","Czech Team Championships","AA",12.05,10.25,10.7,11.55,44.55,"Marta Frankova","Czechia",2005-03-18,NA,2022,18
"5217",5217,"Jun 25-27","Czech Championships","EF",NA,11.466,10.7,12.233,NA,"Marta Frankova","Czechia",2005-03-18,NA,2022,18
"5218",5218,"Jun 25-27","Czech Championships","AA",12.25,10.9,10.55,11,44.7,"Marta Frankova","Czechia",2005-03-18,NA,2022,18
"5219",5219,"7-Mar","Czech Euros Trials","AA",12.15,10.4,10.15,12.05,44.75,"Marta Frankova","Czechia",2005-03-18,NA,2021,18
"5220",5220,"Nov 28-30","Olympic Hopes Cup","AA",12.1,10.6,11.033,12.3,46.033,"Marta Frankova","Czechia",2005-03-18,NA,2020,18
"5221",5221,"Mar 30-31","Elek Matolay Memorial","AA",12.3,10.5,10.8,12,45.6,"Marta Frankova","Czechia",2005-03-18,NA,2020,18
"5222",5222,"Nov 29-Dec 1","Olympic Hopes Cup","EF",NA,10.7,NA,NA,NA,"Marta Frankova","Czechia",2005-03-18,NA,2019,18
"5223",5223,"Nov 29-Dec 1","Olympic Hopes Cup","AA",NA,11.05,NA,NA,NA,"Marta Frankova","Czechia",2005-03-18,NA,2019,18
"5224",5224,"Jun 2-3","Czech Championships","EF",NA,9.7,11.65,11.95,NA,"Marta Frankova","Czechia",2005-03-18,NA,2019,18
"5225",5225,"Jun 2-3","Czech Championships","AA",11.85,9.35,10.75,11.75,43.7,"Marta Frankova","Czechia",2005-03-18,NA,2019,18
"5226",5226,"19-May","Marie Siroke Memorial","AA",11.9,10.25,9.95,12.15,44.25,"Marta Frankova","Czechia",2005-03-18,NA,2019,18
"5227",5227,"Sep 17-18","Gym Festival Trnava","EF",11.433,NA,NA,10.9,NA,"Daniela Halova","Czechia",2005-02-21,NA,2023,18
"5228",5228,"Sep 17-18","Gym Festival Trnava","AA",12.45,9.8,10.4,11.45,44.1,"Daniela Halova","Czechia",2005-02-21,NA,2023,18
"5229",5229,"Jun 16-19","Koper Challenge Cup","QF",12.025,10.35,NA,10.45,NA,"Daniela Halova","Czechia",2005-02-21,NA,2023,18
"5230",5230,"Jun 3-5","Czech Championships","AA",12.1,10.45,9.5,11.1,43.15,"Daniela Halova","Czechia",2005-02-21,NA,2023,18
"5231",5231,"Apr 23-24","Elek Matolay Memorial","EF",12.15,NA,NA,NA,NA,"Daniela Halova","Czechia",2005-02-21,NA,2023,18
"5232",5232,"Apr 23-24","Elek Matolay Memorial","AA",12.6,NA,10.8,11.5,NA,"Daniela Halova","Czechia",2005-02-21,NA,2023,18
"5233",5233,"Dec 4-5","Czech Team Championships","AA",11.85,10.35,10.75,10.4,43.35,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5234",5234,"Sep 11-12","Gym Festival Trnava","EF",11.6,10.6,9.6,10.9,NA,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5235",5235,"Sep 11-12","Gym Festival Trnava","AA",12.3,11.05,8.8,10.5,42.65,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5236",5236,"Sep 2-5","Koper Challenge Cup","EF",12.225,NA,NA,NA,NA,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5237",5237,"Sep 2-5","Koper Challenge Cup","QF",12.2,10.55,NA,9.9,NA,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5238",5238,"Jun 25-27","Czech Championships","EF",12.6,11.166,12.266,11.466,NA,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5239",5239,"Jun 25-27","Czech Championships","AA",13,10.6,11.35,11.35,46.3,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5240",5240,"May 27-30","Varna Challenge Cup","QF",12.5,9.6,10.95,11.2,NA,"Daniela Halova","Czechia",2005-02-21,NA,2022,18
"5241",5241,"7-Mar","Czech Euros Trials","AA",12.25,10.35,11.25,11.55,45.4,"Daniela Halova","Czechia",2005-02-21,NA,2021,18
"5242",5242,"Nov 28-30","Olympic Hopes Cup","AA",12.5,10.4,11.167,11.433,45.5,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5243",5243,"Oct 25-27","Salamunov Memorial","EF",12.4,NA,NA,11.45,NA,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5244",5244,"Oct 25-27","Salamunov Memorial","AA",12.7,10.15,10.85,11.85,45.55,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5245",5245,"Jul 20-28","European Youth Olympic Festival","QF",12.65,10.55,10.55,11.1,44.85,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5246",5246,"Jun 1-2","Czech Championships","EF",NA,10.4,9.475,11.95,NA,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5247",5247,"Jun 1-2","Czech Championships","AA",12.45,11.6,12.65,12.1,48.8,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5248",5248,"Mar 30-31","Elek Matolay Memorial","EF",11.4,NA,NA,11.6,NA,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5249",5249,"Mar 30-31","Elek Matolay Memorial","AA",12.4,10.1,10,11.9,44.4,"Daniela Halova","Czechia",2005-02-21,NA,2020,18
"5250",5250,"Nov 29-Dec 1","Olympic Hopes Cup","EF",12.283,NA,NA,11.633,NA,"Daniela Halova","Czechia",2005-02-21,NA,2019,18
"5251",5251,"Nov 29-Dec 1","Olympic Hopes Cup","AA",12.85,10.65,10.9,12.3,46.7,"Daniela Halova","Czechia",2005-02-21,NA,2019,18
"5252",5252,"Jun 9-10","Gym Festival Trnava","AA",12.35,9.9,10.7,11.5,44.45,"Daniela Halova","Czechia",2005-02-21,NA,2019,18
"5253",5253,"Jun 2-3","Czech Championships","EF",12.375,NA,NA,11.75,NA,"Daniela Halova","Czechia",2005-02-21,NA,2019,18
"5254",5254,"Jun 2-3","Czech Championships","AA",12.25,10.2,10.7,11.85,45,"Daniela Halova","Czechia",2005-02-21,NA,2019,18
"5255",5255,"21-Apr","Austrian Team Open","AA",12.95,10.75,8.25,11,42.95,"Daniela Halova","Czechia",2005-02-21,NA,2019,18
"5256",5256,"Sep 17-18","Gym Festival Trnava","EF",NA,11.15,12.05,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2023,21
"5257",5257,"Sep 17-18","Gym Festival Trnava","AA",NA,11.4,10.35,10.2,NA,"Sabina Halova","Czechia",2002-04-11,NA,2023,21
"5258",5258,"Jun 16-19","Koper Challenge Cup","QF",NA,10.75,9.6,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2023,21
"5259",5259,"Jun 3-5","Czech Championships","EF",NA,11.5,NA,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2023,21
"5260",5260,"Jun 3-5","Czech Championships","AA",NA,11.3,10.65,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2023,21
"5261",5261,"Apr 23-24","Elek Matolay Memorial","AA",NA,9.6,10.9,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2023,21
"5262",5262,"Sep 11-12","Gym Festival Trnava","AA",11.95,10.85,11.15,3.3,37.25,"Sabina Halova","Czechia",2002-04-11,NA,2022,21
"5263",5263,"Jun 25-27","Czech Championships","EF",NA,11.8,11.6,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2022,21
"5264",5264,"Jun 25-27","Czech Championships","AA",NA,10.35,11.4,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2022,21
"5265",5265,"Dec 17-20","European Championships","TF",NA,11.433,9.533,NA,NA,"Sabina Halova","Czechia",2002-04-11,NA,2021,21
