Date,Competition,,VT,UB,BB,FX,AA,Full_Name,Nation,Birthdate,comp_year,Comp_Year
May 8-12,Chinese Championships,AA,13.75,14.15,14.7,13.55,56.15,Luo Huan,China,6-Mar-00,,2015
May 8-12,Chinese Championships,TF,13.85,14.65,14.45,13,55.95,Luo Huan,China,6-Mar-00,,2015
Apr 9-12,Pacific Rim Championships,EF,13.975*,14.7,,13.8,,Luo Huan,China,6-Mar-00,,2015
Apr 9-12,Pacific Rim Championships,AA,14.05,14.7,14.1,13.45,56.3,Luo Huan,China,6-Mar-00,,2015
Sep 2-8,Chinese National Games,EF,,14.134,,,,Luo Huan,China,6-Mar-00,,2014
Sep 2-8,Chinese National Games,TF,13.6,14.2,15.067,,,Luo Huan,China,6-Mar-00,,2014
Sep 2-8,Chinese National Games,QF,13.534,14.4,13.834,12.5,54.268,Luo Huan,China,6-Mar-00,,2014
May 8-12,Chinese Championships,EF,,13.2,,,,Luo Huan,China,6-Mar-00,,2014
May 8-12,Chinese Championships,QF,,14.034,12,,,Luo Huan,China,6-Mar-00,,2014
Jan 16-20,Australian Youth Olympic Festival,AA,11.5,13.8,12.9,13.233,51.433,Luo Huan,China,6-Mar-00,,2014
Jan 16-20,Australian Youth Olympic Festival,TF,,,13.533,13.166,,Luo Huan,China,6-Mar-00,,2014
Oct 29-Nov 6,World Championships,EF,,13.8,,,,Luo Rui,China,26-Nov-05,,2023
Oct 29-Nov 6,World Championships,TF,,14.4,12.4,,,Luo Rui,China,26-Nov-05,,2023
Oct 29-Nov 6,World Championships,QF,,14.9,10.766,,,Luo Rui,China,26-Nov-05,,2023
Sep 4-9,Chinese Championships,EF,,14.966,13.266,,,Luo Rui,China,26-Nov-05,,2023
Sep 4-9,Chinese Championships,QF,,14.85,14.65,,,Luo Rui,China,26-Nov-05,,2023
1-Jun,Chinese Selection Meet,AA,11.533,14.1,14.333,13.133,53.099,Luo Rui,China,26-Nov-05,,2023
Oct 18-24,World Championships,EF,,14.633,13.3,,,Luo Rui,China,26-Nov-05,,2022
Oct 18-24,World Championships,QF,,14.5,14.566,,,Luo Rui,China,26-Nov-05,,2022
Sep 19-26,Chinese National Games,EF,,,13.3,,,Luo Rui,China,26-Nov-05,,2022
Sep 19-26,Chinese National Games,AA,13.233,14.633,13.9,13.1,54.866,Luo Rui,China,26-Nov-05,,2022
Sep 19-26,Chinese National Games,TF,13.3,14.5,14.333,13.333,55.466,Luo Rui,China,26-Nov-05,,2022
Sep 19-26,Chinese National Games,QF,13.2,13.533,14.133,13.033,53.899,Luo Rui,China,26-Nov-05,,2022
2-Jul,2nd Chinese Olympic Trials,AA,13.333,14.7,15.133,13.233,56.399,Luo Rui,China,26-Nov-05,,2022
18-Jun,1st Chinese Olympic Trials,AA,13.233,14.133,14.933,13.366,55.665,Luo Rui,China,26-Nov-05,,2022
May 4-9,Chinese Championships,EF,,14.766,,,,Luo Rui,China,26-Nov-05,,2022
May 4-9,Chinese Championships,AA,13.266,14.533,13.5,13.333,54.632,Luo Rui,China,26-Nov-05,,2022
May 4-9,Chinese Championships,QF,13.366,14.4,13.733,13.233,54.732,Luo Rui,China,26-Nov-05,,2022
Jul 28-Aug 6,Chinese National Youth Games,EF,,13.4,,,,Luo Rui,China,26-Nov-05,,2021
Jul 28-Aug 6,Chinese National Youth Games,AA,12,13.3,13.6,12.25,51.15,Luo Rui,China,26-Nov-05,,2021
Jul 28-Aug 6,Chinese National Youth Games,TF,,13.45,13.8,12.25,,Luo Rui,China,26-Nov-05,,2021
Jul 28-Aug 6,Chinese National Youth Games,QF,12,13.45,12.95,12.8,51.2,Luo Rui,China,26-Nov-05,,2021
Jun 12-19,Chinese Junior Championships,EF,12.317*,12.4,14.267,,,Luo Rui,China,26-Nov-05,,2021
Jun 12-19,Chinese Junior Championships,AA,13.4,13.45,13.95,13.4,54.2,Luo Rui,China,26-Nov-05,,2021
Jun 12-19,Chinese Junior Championships,QF,13.4,13.45,12.5,12.3,51.65,Luo Rui,China,26-Nov-05,,2021
May 8-13,Chinese Championships,TF,13.4,12.4,14.45,,,Luo Rui,China,26-Nov-05,,2021
May 8-13,Chinese Championships,QF,13.35,12.05,14.15,12.85,52.4,Luo Rui,China,26-Nov-05,,2021
Jun 3-10,Chinese Junior Championships,EF,,,12.4,12.8,,Luo Rui,China,26-Nov-05,,2019
Jun 3-10,Chinese Junior Championships,AA,11.9,12.6,12.9,12.95,50.35,Luo Rui,China,26-Nov-05,,2019
Jun 3-10,Chinese Junior Championships,QF,11.9,10.5,13.65,12.7,48.75,Luo Rui,China,26-Nov-05,,2019
Sep 21-28,Chinese Championships,EF,,,14.4,,,Lyu Junliang,China,28-Dec-06,,2021
Sep 21-28,Chinese Championships,QF,,11.85,14.05,12.1,,Lyu Junliang,China,28-Dec-06,,2021
Nov 28-30,Olympic Hopes Cup,EF,,,13.667,,,Lyu Junliang,China,28-Dec-06,,2020
Nov 28-30,Olympic Hopes Cup,AA,10.9,10.933,13.7,12.767,48.3,Lyu Junliang,China,28-Dec-06,,2020
Jul 28-Aug 6,Chinese National Youth Games,QF,10.15,10.05,12.6,11.05,43.85,Lyu Junliang,China,28-Dec-06,,2020
Jun 12-19,Chinese Junior Championships,EF,,11.833,13.967,12.5,,Lyu Junliang,China,28-Dec-06,,2020
Jun 12-19,Chinese Junior Championships,AA,12.5,11.2,12.35,12.45,48.5,Lyu Junliang,China,28-Dec-06,,2020
Jun 12-19,Chinese Junior Championships,QF,12.05,11.8,12.45,12.75,49.05,Lyu Junliang,China,28-Dec-06,,2020
Oct 29-Nov 6,World Championships,EF,,,13,,,Ou Yushan,China,13-Jan-04,,2023
Oct 29-Nov 6,World Championships,AA,13.1,13.2,13.866,13.733,53.899,Ou Yushan,China,13-Jan-04,,2023
Oct 29-Nov 6,World Championships,TF,13.133,,14.266,12.966,,Ou Yushan,China,13-Jan-04,,2023
Oct 29-Nov 6,World Championships,QF,13,14.166,13.9,13.4,54.466,Ou Yushan,China,13-Jan-04,,2023
Sep 4-9,Chinese Championships,EF,,,14.4,12.8,,Ou Yushan,China,13-Jan-04,,2023
Sep 4-9,Chinese Championships,AA,13.05,14.3,13.85,13.05,54.25,Ou Yushan,China,13-Jan-04,,2023
Sep 4-9,Chinese Championships,QF,12.95,13.35,13.85,13.35,53.5,Ou Yushan,China,13-Jan-04,,2023
1-Jun,Chinese Selection Meet,AA,13,13.566,14.266,,,Ou Yushan,China,13-Jan-04,,2023
Sep 19-26,Chinese National Games,EF,,,14.58,13.66,,Ou Yushan,China,13-Jan-04,,2022
Sep 19-26,Chinese National Games,AA,13.466,13.966,14.033,13.5,54.965,Ou Yushan,China,13-Jan-04,,2022
Sep 19-26,Chinese National Games,TF,12.966,12.833,13.5,13.1,52.399,Ou Yushan,China,13-Jan-04,,2022
Sep 19-26,Chinese National Games,QF,13.466,13.866,14.466,13.8,55.598,Ou Yushan,China,13-Jan-04,,2022
Jul 23-Aug 8,Olympic Games,TF,12.7,13.233,,,,Ou Yushan,China,13-Jan-04,,2022
Jul 23-Aug 8,Olympic Games,QF,13.633,13.5,13.933,,,Ou Yushan,China,13-Jan-04,,2022
2-Jul,2nd Chinese Olympic Trials,AA,,13.2,15.1,,,Ou Yushan,China,13-Jan-04,,2022
18-Jun,1st Chinese Olympic Trials,AA,14.333,14.333,15.633,,,Ou Yushan,China,13-Jan-04,,2022
May 4-9,Chinese Championships,EF,,,,12.666,,Ou Yushan,China,13-Jan-04,,2022
May 4-9,Chinese Championships,AA,13.5,14.433,13.833,14.333,56.099,Ou Yushan,China,13-Jan-04,,2022
May 4-9,Chinese Championships,QF,12.6,14.2,13.133,14.133,54.066,Ou Yushan,China,13-Jan-04,,2022
Jul 28-Aug 6,Chinese National Youth Games,EF,13.167*,14.033,15.3,13.5,,Ou Yushan,China,13-Jan-04,,2021
Jul 28-Aug 6,Chinese National Youth Games,AA,13.45,14.05,14.35,13,54.85,Ou Yushan,China,13-Jan-04,,2021
Jul 28-Aug 6,Chinese National Youth Games,TF,13.65,13.9,15,13.8,56.35,Ou Yushan,China,13-Jan-04,,2021
Jul 28-Aug 6,Chinese National Youth Games,QF,13.75,14.1,14.25,13.4,55.5,Ou Yushan,China,13-Jan-04,,2021
Jun 24-30,Junior World Championships,EF,,13.766,12,13.833,,Ou Yushan,China,13-Jan-04,,2021
Jun 24-30,Junior World Championships,AA,13.233,13.966,14.066,13.666,54.931,Ou Yushan,China,13-Jan-04,,2021
May 13-18,Chinese Championships,EF,,14.167,14.867,13.5,,Ou Yushan,China,13-Jan-04,,2021
May 13-18,Chinese Championships,AA,13.4,12.75,15.25,13.6,55,Ou Yushan,China,13-Jan-04,,2021
May 13-18,Chinese Championships,QF,13.4,13.95,14.5,13.05,54.9,Ou Yushan,China,13-Jan-04,,2021
May 7-13,Chinese Championships,TF,,12.95,13.75,13.2,,Ou Yushan,China,13-Jan-04,,2019
May 7-13,Chinese Championships,QF,,12.2,13.8,13.35,,Ou Yushan,China,13-Jan-04,,2019
Sep 4-9,Chinese Championships,EF,12.833*,,,,,Qi Qi,China,28-Sep-03,,2023
Sep 4-9,Chinese Championships,QF,12.6,0.95,,11.25,,Qi Qi,China,28-Sep-03,,2023
1-Jun,Chinese Selection Meet,AA,13.6,,,13.033,,Qi Qi,China,28-Sep-03,,2023
Oct 18-24,World Championships,QF,12.933,,,12.833,,Qi Qi,China,28-Sep-03,,2022
Sep 19-26,Chinese National Games,EF,13.760*,,,12.5,,Qi Qi,China,28-Sep-03,,2022
Sep 19-26,Chinese National Games,AA,13.933,12.666,13,13.266,52.865,Qi Qi,China,28-Sep-03,,2022
Sep 19-26,Chinese National Games,TF,14.2,,13.433,13.4,,Qi Qi,China,28-Sep-03,,2022
Sep 19-26,Chinese National Games,QF,14.266,13.2,11.133,13.333,51.932,Qi Qi,China,28-Sep-03,,2022
2-Jul,2nd Chinese Olympic Trials,AA,14.4,13.066,13.833,13.733,55.032,Qi Qi,China,28-Sep-03,,2022
18-Jun,1st Chinese Olympic Trials,AA,14.366,11.9,13.533,13.866,53.665,Qi Qi,China,28-Sep-03,,2022
May 4-9,Chinese Championships,AA,12.666,13.466,13.9,13.4,53.432,Qi Qi,China,28-Sep-03,,2022
May 4-9,Chinese Championships,QF,13.566,13.266,14.133,13.566,54.531,Qi Qi,China,28-Sep-03,,2022
Oct 22-25,Chinese Individual Championships,EF,13.933*,,,,,Qi Qi,China,28-Sep-03,,2021
Oct 22-25,Chinese Individual Championships,QF,13.9,12.2,11.75,12.45,50.3,Qi Qi,China,28-Sep-03,,2021
Sep 21-28,Chinese Championships,EF,14.566*,,,14.2,,Qi Qi,China,28-Sep-03,,2021
Sep 21-28,Chinese Championships,AA,14.05,13,13.9,14.2,55.15,Qi Qi,China,28-Sep-03,,2021
Sep 21-28,Chinese Championships,QF,14.4,12.9,13.75,13.75,54.8,Qi Qi,China,28-Sep-03,,2021
Oct 4-13,World Championships,EF,14.650*,,,,,Qi Qi,China,28-Sep-03,,2020
Oct 4-13,World Championships,TF,14.6,,,13.433,,Qi Qi,China,28-Sep-03,,2020
Oct 4-13,World Championships,QF,14.533,,,12.966,,Qi Qi,China,28-Sep-03,,2020
May 13-18,Chinese Championships,EF,14.450*,,13.267,,,Qi Qi,China,28-Sep-03,,2020
May 13-18,Chinese Championships,AA,14.35,12.85,12.65,13.75,53.6,Qi Qi,China,28-Sep-03,,2020
May 13-18,Chinese Championships,QF,14.25,12.75,13.75,12.6,53.35,Qi Qi,China,28-Sep-03,,2020
Mar 2-3,City of Jesolo Trophy,EF,,,,13.55,,Qi Qi,China,28-Sep-03,,2020
Mar 2-3,City of Jesolo Trophy,AA,14.5,12.733,12.033,13.533,52.799,Qi Qi,China,28-Sep-03,,2020
May 7-13,Chinese Championships,EF,14.750*,,,13.133,,Qi Qi,China,28-Sep-03,,2019
May 7-13,Chinese Championships,TF,14.75,12.1,,13.15,,Qi Qi,China,28-Sep-03,,2019
May 7-13,Chinese Championships,QF,14.7,12.45,11.75,13.45,52.35,Qi Qi,China,28-Sep-03,,2019
Apr 25-28,Asian Junior Championships,EF,14.050*,,,13.5,,Qi Qi,China,28-Sep-03,,2019
Apr 25-28,Asian Junior Championships,AA,14.6,12.35,13.3,13.4,53.65,Qi Qi,China,28-Sep-03,,2019
Aug 31-Sep 7,Chinese National Games,EF,13.850*,,,,,Qi Qi,China,28-Sep-03,,2018
Aug 31-Sep 7,Chinese National Games,TF,14.3,,,,,Qi Qi,China,28-Sep-03,,2018
Aug 31-Sep 7,Chinese National Games,QF,14.2,,13.5,12.5,,Qi Qi,China,28-Sep-03,,2018
May 5-9,Chinese Championships,EF,13.933*,,,,,Qi Qi,China,28-Sep-03,,2018
May 5-9,Chinese Championships,QF,14.6,11.6,12.15,11.3,49.65,Qi Qi,China,28-Sep-03,,2018
Jun 13-19,Chinese Junior Championships,AA,13.8,11.934,13.034,12.534,51.302,Qi Qi,China,28-Sep-03,,2017
Sep 4-9,Chinese Championships,EF,,13.833,14.566,,,Qiu Qiyuan,China,24-May-07,,2023
Sep 4-9,Chinese Championships,AA,12.9,12.6,12.3,13.1,50.9,Qiu Qiyuan,China,24-May-07,,2023
Sep 4-9,Chinese Championships,QF,12.95,14.6,14.95,12.95,55.35,Qiu Qiyuan,China,24-May-07,,2023
Sep 19-26,Chinese National Games,EF,,,14.12,,,Qiu Qiyuan,China,24-May-07,,2022
Sep 19-26,Chinese National Games,AA,13.233,13.133,14.433,13.133,53.932,Qiu Qiyuan,China,24-May-07,,2022
Sep 19-26,Chinese National Games,TF,13.266,13.566,14.6,12.933,54.365,Qiu Qiyuan,China,24-May-07,,2022
Sep 19-26,Chinese National Games,QF,13.233,13.666,14.3,13.133,54.332,Qiu Qiyuan,China,24-May-07,,2022
May 4-9,Chinese Championships,EF,,,13.6,,,Qiu Qiyuan,China,24-May-07,,2022
May 4-9,Chinese Championships,AA,12.966,13.533,14.3,12.866,53.665,Qiu Qiyuan,China,24-May-07,,2022
May 4-9,Chinese Championships,QF,12.9,13.533,14.766,13.366,54.565,Qiu Qiyuan,China,24-May-07,,2022
Oct 17-20,Chinese Individual Championships,EF,,12.866,,,,Qiu Qiyuan,China,24-May-07,,2021
Oct 17-20,Chinese Individual Championships,AA,11.55,11.85,14.4,12.55,50.35,Qiu Qiyuan,China,24-May-07,,2021
Oct 17-20,Chinese Individual Championships,QF,11.25,12.75,14.45,12.3,50.75,Qiu Qiyuan,China,24-May-07,,2021
Jul 28-Aug 6,Chinese National Youth Games,EF,,12.467,14.267,13.167,,Qiu Qiyuan,China,24-May-07,,2020
Jul 28-Aug 6,Chinese National Youth Games,AA,12.75,12.35,14.25,11.6,50.95,Qiu Qiyuan,China,24-May-07,,2020
Jul 28-Aug 6,Chinese National Youth Games,QF,12.85,12.35,13.05,12.8,51.05,Qiu Qiyuan,China,24-May-07,,2020
Jun 12-19,Chinese Junior Championships,EF,,11.567,13.767,12.667,,Qiu Qiyuan,China,24-May-07,,2020
Jun 12-19,Chinese Junior Championships,AA,11.9,11.85,13.8,11.9,49.45,Qiu Qiyuan,China,24-May-07,,2020
Jun 12-19,Chinese Junior Championships,QF,11.7,11.95,13.65,12.9,50.2,Qiu Qiyuan,China,24-May-07,,2020
Sep 19-26,Chinese National Games,TF,,12.666,13.8,13,,Shang Chunsong,China,18-Mar-96,,2023
Sep 19-26,Chinese National Games,QF,12.033,12.366,13.7,13.2,51.299,Shang Chunsong,China,18-Mar-96,,2023
May 4-9,Chinese Championships,EF,,,,13.8,,Shang Chunsong,China,18-Mar-96,,2023
May 4-9,Chinese Championships,AA,12.133,12.566,14.166,13.666,52.531,Shang Chunsong,China,18-Mar-96,,2023
May 4-9,Chinese Championships,QF,12.1,12.666,12.766,13.566,51.098,Shang Chunsong,China,18-Mar-96,,2023
Oct 22-25,Chinese Individual Championships,EF,,,,12.7,,Shang Chunsong,China,18-Mar-96,,2021
Oct 22-25,Chinese Individual Championships,AA,11.95,11.95,14.05,13.25,51.2,Shang Chunsong,China,18-Mar-96,,2021
Oct 22-25,Chinese Individual Championships,QF,12,11.6,13.15,12.9,49.65,Shang Chunsong,China,18-Mar-96,,2021
Sep 21-28,Chinese Championships,EF,,,,13.666,,Shang Chunsong,China,18-Mar-96,,2021
Sep 21-28,Chinese Championships,AA,12.1,12.65,13.25,12.1,50.1,Shang Chunsong,China,18-Mar-96,,2021
Sep 21-28,Chinese Championships,QF,12.15,12.05,13.5,13.65,51.35,Shang Chunsong,China,18-Mar-96,,2021
May 13-18,Chinese Championships,EF,,,,13.4,,Shang Chunsong,China,18-Mar-96,,2020
May 13-18,Chinese Championships,TF,,12.75,13.9,13.4,,Shang Chunsong,China,18-Mar-96,,2020
May 13-18,Chinese Championships,QF,11.95,12.5,13.4,12.9,50.75,Shang Chunsong,China,18-Mar-96,,2020
May 7-13,Chinese Championships,EF,,,12.733,,,Shang Chunsong,China,18-Mar-96,,2019
May 7-13,Chinese Championships,QF,,,14,12.6,,Shang Chunsong,China,18-Mar-96,,2019
Aug 31-Sep 7,Chinese National Games,EF,,14.2,13.8,11.6,,Shang Chunsong,China,18-Mar-96,,2018
Aug 31-Sep 7,Chinese National Games,AA,13.2,14.2,13.733,13.433,54.566,Shang Chunsong,China,18-Mar-96,,2018
Aug 31-Sep 7,Chinese National Games,TF,,13.5,13.333,,,Shang Chunsong,China,18-Mar-96,,2018
Aug 31-Sep 7,Chinese National Games,QF,13,14.467,13.533,13.4,54.4,Shang Chunsong,China,18-Mar-96,,2018
May 5-9,Chinese Championships,EF,,,13.567,13.3,,Shang Chunsong,China,18-Mar-96,,2018
May 5-9,Chinese Championships,AA,,3,,,,Shang Chunsong,China,18-Mar-96,,2018
May 5-9,Chinese Championships,QF,12,12.85,13.55,13.15,51.55,Shang Chunsong,China,18-Mar-96,,2018
Mar 16-19,Baku World Cup,EF,,1.533,,,,Shang Chunsong,China,18-Mar-96,,2018
Mar 16-19,Baku World Cup,QF,,11.533,,,,Shang Chunsong,China,18-Mar-96,,2018
Aug 5-21,Olympic Games,EF,,15.433,,,,Shang Chunsong,China,18-Mar-96,,2017
Aug 5-21,Olympic Games,AA,13.883,15.233,14.833,14.6,58.549,Shang Chunsong,China,18-Mar-96,,2017
Aug 5-21,Olympic Games,TF,,14.333,15.066,14.7,,Shang Chunsong,China,18-Mar-96,,2017
Aug 5-21,Olympic Games,QF,12.766,15.3,14.366,14.1,56.532,Shang Chunsong,China,18-Mar-96,,2017
May 11-15,Chinese Championships,EF,,15.134,15.167,14.8,,Shang Chunsong,China,18-Mar-96,,2017
May 11-15,Chinese Championships,AA,13.8,15.3,15.3,14.65,59.05,Shang Chunsong,China,18-Mar-96,,2017
May 11-15,Chinese Championships,QF,14.05,15.5,15.2,14.95,59.7,Shang Chunsong,China,18-Mar-96,,2017
Oct 23-Nov 1,World Championships,EF,,14.9,,14.933,,Shang Chunsong,China,18-Mar-96,,2016
Oct 23-Nov 1,World Championships,AA,13.866,15.166,14.7,14.533,58.265,Shang Chunsong,China,18-Mar-96,,2016
Oct 23-Nov 1,World Championships,TF,,15.233,14.6,14.366,,Shang Chunsong,China,18-Mar-96,,2016
Oct 23-Nov 1,World Championships,QF,14.1,14.666,13.166,14.4,56.332,Shang Chunsong,China,18-Mar-96,,2016
Jun 1-4,Chinese Championships,EF,,,14.467,14.333,,Shang Chunsong,China,18-Mar-96,,2016
Jun 1-4,Chinese Championships,AA,13.1,15.3,14.15,14.55,57.1,Shang Chunsong,China,18-Mar-96,,2016
Jun 1-4,Chinese Championships,QF,13.65,14.05,14.8,13.65,56.15,Shang Chunsong,China,18-Mar-96,,2016
May 1-3,Sao Paolo World Cup,EF,,15.025,15.4,,,Shang Chunsong,China,18-Mar-96,,2016
May 1-3,Sao Paolo World Cup,QF,,14.2,15.1,,,Shang Chunsong,China,18-Mar-96,,2016
Oct 3-12,World Championships,AA,14,12.3,15.033,14.166,55.499,Shang Chunsong,China,18-Mar-96,,2015
Oct 3-12,World Championships,TF,,13.933,15.066,14.033,,Shang Chunsong,China,18-Mar-96,,2015
Oct 3-12,World Championships,QF,13.966,14.558,14.633,13.966,57.123,Shang Chunsong,China,18-Mar-96,,2015
Sep 19- Oct 4,Asian Games,EF,,,14.3,13.8,,Shang Chunsong,China,18-Mar-96,,2015
Sep 19- Oct 4,Asian Games,AA,13.65,15.35,14.9,13.05,56.95,Shang Chunsong,China,18-Mar-96,,2015
Sep 19- Oct 4,Asian Games,TF,13.8,14.15,14.9,13.95,56.8,Shang Chunsong,China,18-Mar-96,,2015
May 8-12,Chinese Championships,EF,,15.3,15.367,14.9,,Shang Chunsong,China,18-Mar-96,,2015
May 8-12,Chinese Championships,AA,13.6,15.5,14.85,14.9,58.85,Shang Chunsong,China,18-Mar-96,,2015
May 8-12,Chinese Championships,TF,13.65,14.95,14.7,13.8,57.1,Shang Chunsong,China,18-Mar-96,,2015
3-Nov,Swiss Cup,QF,,14.55,,12.9,,Shang Chunsong,China,18-Mar-96,,2014
30-Oct,Arthur Gander Memorial,AA,13.9,13.8,,12.8,,Shang Chunsong,China,18-Mar-96,,2014
Sep 30-Oct 6,World Championships,EF,,,14.133,,,Shang Chunsong,China,18-Mar-96,,2014
Sep 30-Oct 6,World Championships,AA,14,14.466,13.7,13.966,56.132,Shang Chunsong,China,18-Mar-96,,2014
Sep 30-Oct 6,World Championships,QF,13.966,14.4,14.866,13.766,56.998,Shang Chunsong,China,18-Mar-96,,2014
Sep 2-8,Chinese National Games,EF,,15.367,14.667,14.667,,Shang Chunsong,China,18-Mar-96,,2014
Sep 2-8,Chinese National Games,AA,13.734,14.767,14.8,14.5,57.801,Shang Chunsong,China,18-Mar-96,,2014
Sep 2-8,Chinese National Games,TF,13.667,14.834,14.2,14.2,56.901,Shang Chunsong,China,18-Mar-96,,2014
Sep 2-8,Chinese National Games,QF,13.767,14.9,13.8,14.634,57.101,Shang Chunsong,China,18-Mar-96,,2014
Jun 21-23,Anadia Challenge Cup,EF,,14.175,15.15,14.125,,Shang Chunsong,China,18-Mar-96,,2014
Jun 21-23,Anadia Challenge Cup,QF,,13.875,15,13.675,,Shang Chunsong,China,18-Mar-96,,2014
May 8-12,Chinese Championships,EF,,,14.667,14.167,,Shang Chunsong,China,18-Mar-96,,2014
May 8-12,Chinese Championships,AA,13.634,14.834,13.367,13.8,55.635,Shang Chunsong,China,18-Mar-96,,2014
May 8-12,Chinese Championships,QF,13.567,13.234,14.167,13.767,54.735,Shang Chunsong,China,18-Mar-96,,2014
Apr 6-7,Tokyo World Cup,AA,13.875,13.4,14.625,13.85,55.75,Shang Chunsong,China,18-Mar-96,,2014
May 8-12,Chinese Championships,EF,,12.45,13.075,13.6,,Shang Chunsong,China,18-Mar-96,,2013
May 8-12,Chinese Championships,AA,13.4,14.35,14,13.85,55.6,Shang Chunsong,China,18-Mar-96,,2013
Mar 16-18,Pacific Rim Championships,EF,,14.6,13.875,,,Shang Chunsong,China,18-Mar-96,,2013
Mar 16-18,Pacific Rim Championships,AA,13.3,13.65,15.25,13.15,55.35,Shang Chunsong,China,18-Mar-96,,2013
Sep 4-9,Chinese Championships,EF,,,14.533,,,Sun Xinyi,China,17-Jan-04,,2023
Sep 4-9,Chinese Championships,QF,13.15,,14.85,12.9,,Sun Xinyi,China,17-Jan-04,,2023
Jun 15-18,Asian Championships,AA,13.2,,14.1,13,,Sun Xinyi,China,17-Jan-04,,2023
1-Jun,Chinese Selection Meet,AA,13.2,,14.633,13.066,,Sun Xinyi,China,17-Jan-04,,2023
Sep 19-26,Chinese National Games,TF,13.6,,13.8,13.233,,Sun Xinyi,China,17-Jan-04,,2022
Sep 19-26,Chinese National Games,QF,13.433,,13.466,13.066,,Sun Xinyi,China,17-Jan-04,,2022
2-Jul,2nd Chinese Olympic Trials,AA,,,12.833,,,Sun Xinyi,China,17-Jan-04,,2022
18-Jun,1st Chinese Olympic Trials,AA,,,13.666,,,Sun Xinyi,China,17-Jan-04,,2022
May 4-9,Chinese Championships,EF,,,13.366,,,Sun Xinyi,China,17-Jan-04,,2022
May 4-9,Chinese Championships,QF,13.4,,15.2,12.933,,Sun Xinyi,China,17-Jan-04,,2022
Sep 21-28,Chinese Championships,EF,,,,13.433,,Sun Xinyi,China,17-Jan-04,,2021
Sep 21-28,Chinese Championships,QF,13.35,,13.7,13.1,,Sun Xinyi,China,17-Jan-04,,2021
Sep 3-7,Chinese Individual Championships,EF,13.050*,,13.566,,,Sun Xinyi,China,17-Jan-04,,2020
Sep 3-7,Chinese Individual Championships,AA,12.9,9.85,13.75,12.3,48.8,Sun Xinyi,China,17-Jan-04,,2020
Sep 3-7,Chinese Individual Championships,QF,13.3,10.2,13.2,11.15,47.85,Sun Xinyi,China,17-Jan-04,,2020
Jun 12-19,Chinese Junior Championships,QF,11.8,10.3,11.75,12.35,46.2,Sun Xinyi,China,17-Jan-04,,2020
May 8-13,Chinese Championships,QF,13.1,10,10.9,9.85,43.85,Sun Xinyi,China,17-Jan-04,,2020
Oct 29-Nov 6,World Championships,TF,13.133,12.833,10.7,12.166,48.832,Tang Xijing,China,3-Jan-03,,2023
Oct 29-Nov 6,World Championships,QF,13,14.333,12.466,13.066,52.865,Tang Xijing,China,3-Jan-03,,2023
Sep 4-9,Chinese Championships,EF,,14.333,,11.933,,Tang Xijing,China,3-Jan-03,,2023
Sep 4-9,Chinese Championships,AA,12.9,14.4,14,13.7,55,Tang Xijing,China,3-Jan-03,,2023
Sep 4-9,Chinese Championships,QF,13.1,14.35,13.05,13.35,53.85,Tang Xijing,China,3-Jan-03,,2023
Jun 15-18,Asian Championships,EF,,14.7,,,,Tang Xijing,China,3-Jan-03,,2023
Jun 15-18,Asian Championships,AA,13.033,14.5,12.967,13.467,53.967,Tang Xijing,China,3-Jan-03,,2023
1-Jun,Chinese Selection Meet,AA,13.033,14.233,14.766,11.966,53.998,Tang Xijing,China,3-Jan-03,,2023
Sep 19-26,Chinese National Games,EF,,14.24,,,,Tang Xijing,China,3-Jan-03,,2022
Sep 19-26,Chinese National Games,AA,12.8,12.8,13.7,13.233,52.533,Tang Xijing,China,3-Jan-03,,2022
Sep 19-26,Chinese National Games,TF,14.033,14.233,14.133,13.2,55.599,Tang Xijing,China,3-Jan-03,,2022
Sep 19-26,Chinese National Games,QF,13.333,14.266,13.3,13.066,53.965,Tang Xijing,China,3-Jan-03,,2022
Jul 23-Aug 8,Olympic Games,EF,,,14.233,,,Tang Xijing,China,3-Jan-03,,2022
Jul 23-Aug 8,Olympic Games,AA,14.233,14.233,13.066,12.966,54.498,Tang Xijing,China,3-Jan-03,,2022
Jul 23-Aug 8,Olympic Games,TF,12.6,14.5,13.733,12.866,53.699,Tang Xijing,China,3-Jan-03,,2022
Jul 23-Aug 8,Olympic Games,QF,14.3,14.433,14.333,13.366,56.432,Tang Xijing,China,3-Jan-03,,2022
2-Jul,2nd Chinese Olympic Trials,AA,13.666,14.5,14.833,13.6,56.599,Tang Xijing,China,3-Jan-03,,2022
18-Jun,1st Chinese Olympic Trials,AA,13.466,14.666,14.5,13.733,56.365,Tang Xijing,China,3-Jan-03,,2022
May 4-9,Chinese Championships,EF,,14.633,14.466,,,Tang Xijing,China,3-Jan-03,,2022
May 4-9,Chinese Championships,AA,13.433,14.566,14.833,13.766,56.598,Tang Xijing,China,3-Jan-03,,2022
May 4-9,Chinese Championships,QF,13.266,14.333,14.6,13.3,55.499,Tang Xijing,China,3-Jan-03,,2022
Oct 22-25,Chinese Individual Championships,EF,,14.533,13.6,13.4,,Tang Xijing,China,3-Jan-03,,2021
Oct 22-25,Chinese Individual Championships,AA,13.5,14.3,14.6,13.05,55.45,Tang Xijing,China,3-Jan-03,,2021
